subbasin,deluid,parmname,value1
6682,1000,AREA,3.674765000003e+00
6682,1000,PREC,3.889941201571e+01
6682,1000,SURO,3.536140100066e+01
6682,1000,IFWO,0.000000000000e+00
6682,1000,AGWO,0.000000000000e+00
6682,1000,PERO,3.536140100066e+01
6682,1000,TAET,3.538011015054e+00
6682,1000,SEDLOAD,2.518324636949e-01
6682,1000,SEDWSSD, 2.51832e-01
6682,1000,SEDSCRS, 0.00000e+00
6682,1000,SEDSURO, 0.00000e+00
6682,1000,SEDIFWO, 0.00000e+00
6682,1000,SEDAGWO, 0.00000e+00
6682,1000,SO_TN,1.174297229469e+00
6682,1000,IO_TN,0.000000000000e+00
6682,1000,AO_TN,0.000000000000e+00
6682,1000,PO_TN,1.174297229469e+00
6682,1000,SO_TP,1.123802369239e+00
6682,1000,IO_TP,0.000000000000e+00
6682,1000,AO_TP,0.000000000000e+00
6682,1000,PO_TP,1.123802369239e+00
6682,1000,SED_TP,1.123802369239e+00
6682,1000,SEDWSSD_TP,1.123802369239e+00
6682,1000,SEDSCRS_TP,0.000000000000e+00
6682,1000,SO_TCd,4.407068114662e-03
6682,1000,IO_TCd,0.000000000000e+00
6682,1000,AO_TCd,0.000000000000e+00
6682,1000,PO_TCd,4.407068114662e-03
6682,1000,SED_TCd,4.407068114662e-03
6682,1000,SEDWSSD_TCd,4.407068114662e-03
6682,1000,SEDSCRS_TCd,0.000000000000e+00
6682,1000,SO_TCu,4.407068114662e-01
6682,1000,IO_TCu,0.000000000000e+00
6682,1000,AO_TCu,0.000000000000e+00
6682,1000,PO_TCu,4.407068114662e-01
6682,1000,SED_TCu,4.407068114662e-01
6682,1000,SEDWSSD_TCu,4.407068114662e-01
6682,1000,SEDSCRS_TCu,0.000000000000e+00
6682,1000,SO_TPb,5.094602454957e-01
6682,1000,IO_TPb,0.000000000000e+00
6682,1000,AO_TPb,0.000000000000e+00
6682,1000,PO_TPb,5.094602454957e-01
6682,1000,SED_TPb,1.087916243162e-01
6682,1000,SEDWSSD_TPb,1.087916243162e-01
6682,1000,SEDSCRS_TPb,0.000000000000e+00
6682,1000,SO_TZn,3.481331978119e+00
6682,1000,IO_TZn,0.000000000000e+00
6682,1000,AO_TZn,0.000000000000e+00
6682,1000,PO_TZn,3.481331978119e+00
6682,1000,SED_TZn,3.481331978119e+00
6682,1000,SEDWSSD_TZn,3.481331978119e+00
6682,1000,SEDSCRS_TZn,0.000000000000e+00
6682,2000,AREA,3.724145999995e+00
6682,2000,PREC,3.942213710554e+01
6682,2000,SURO,3.583658277223e+01
6682,2000,IFWO,0.000000000000e+00
6682,2000,AGWO,0.000000000000e+00
6682,2000,PERO,3.583658277223e+01
6682,2000,TAET,3.585554333316e+00
6682,2000,SEDLOAD,7.421135732488e-01
6682,2000,SEDWSSD, 7.42114e-01
6682,2000,SEDSCRS, 0.00000e+00
6682,2000,SEDSURO, 0.00000e+00
6682,2000,SEDIFWO, 0.00000e+00
6682,2000,SEDAGWO, 0.00000e+00
6682,2000,SO_TN,1.190077278394e+00
6682,2000,IO_TN,0.000000000000e+00
6682,2000,AO_TN,0.000000000000e+00
6682,2000,PO_TN,1.190077278394e+00
6682,2000,SO_TP,3.311681820623e+00
6682,2000,IO_TP,0.000000000000e+00
6682,2000,AO_TP,0.000000000000e+00
6682,2000,PO_TP,3.311681820623e+00
6682,2000,SED_TP,3.311681820623e+00
6682,2000,SEDWSSD_TP,3.311681820623e+00
6682,2000,SEDSCRS_TP,0.000000000000e+00
6682,2000,SO_TCd,1.113170359873e-02
6682,2000,IO_TCd,0.000000000000e+00
6682,2000,AO_TCd,0.000000000000e+00
6682,2000,PO_TCd,1.113170359873e-02
6682,2000,SED_TCd,1.113170359873e-02
6682,2000,SEDWSSD_TCd,1.113170359873e-02
6682,2000,SEDSCRS_TCd,0.000000000000e+00
6682,2000,SO_TCu,1.113170359873e+00
6682,2000,IO_TCu,0.000000000000e+00
6682,2000,AO_TCu,0.000000000000e+00
6682,2000,PO_TCu,1.113170359873e+00
6682,2000,SED_TCu,1.113170359873e+00
6682,2000,SEDWSSD_TCu,1.113170359873e+00
6682,2000,SEDSCRS_TCu,0.000000000000e+00
6682,2000,SO_TPb,6.464975501919e-01
6682,2000,IO_TPb,0.000000000000e+00
6682,2000,AO_TPb,0.000000000000e+00
6682,2000,PO_TPb,6.464975501919e-01
6682,2000,SED_TPb,2.404447977326e-01
6682,2000,SEDWSSD_TPb,2.404447977326e-01
6682,2000,SEDSCRS_TPb,0.000000000000e+00
6682,2000,SO_TZn,5.129489018296e+00
6682,2000,IO_TZn,0.000000000000e+00
6682,2000,AO_TZn,0.000000000000e+00
6682,2000,PO_TZn,5.129489018296e+00
6682,2000,SED_TZn,5.129489018296e+00
6682,2000,SEDWSSD_TZn,5.129489018296e+00
6682,2000,SEDSCRS_TZn,0.000000000000e+00
6682,3000,AREA,9.609939999991e-01
6682,3000,PREC,1.017265091798e+01
6682,3000,SURO,9.247419683497e+00
6682,3000,IFWO,0.000000000000e+00
6682,3000,AGWO,0.000000000000e+00
6682,3000,PERO,9.247419683497e+00
6682,3000,TAET,9.252312344873e-01
6682,3000,SEDLOAD,1.455178229686e-01
6682,3000,SEDWSSD, 1.45518e-01
6682,3000,SEDSCRS, 0.00000e+00
6682,3000,SEDSURO, 0.00000e+00
6682,3000,SEDIFWO, 0.00000e+00
6682,3000,SEDAGWO, 0.00000e+00
6682,3000,SO_TN,3.070924523494e-01
6682,3000,IO_TN,0.000000000000e+00
6682,3000,AO_TN,0.000000000000e+00
6682,3000,PO_TN,3.070924523494e-01
6682,3000,SO_TP,6.493732849973e-01
6682,3000,IO_TP,0.000000000000e+00
6682,3000,AO_TP,0.000000000000e+00
6682,3000,PO_TP,6.493732849973e-01
6682,3000,SED_TP,6.493732849973e-01
6682,3000,SEDWSSD_TP,6.493732849973e-01
6682,3000,SEDSCRS_TP,0.000000000000e+00
6682,3000,SO_TCd,1.746213875623e-03
6682,3000,IO_TCd,0.000000000000e+00
6682,3000,AO_TCd,0.000000000000e+00
6682,3000,PO_TCd,1.746213875623e-03
6682,3000,SED_TCd,1.746213875623e-03
